village,vlcode,block,district,area_m2,area_km2,centroid_x,centroid_y,area_exposure_score,coastal_exposure_score,coastal_exposure_category,exposure_method,exposure_data_quality,shoreline_distance_available,village_erosion_rate_available
Chakarpur,396516,Marsaghai,Kendrapara,316558.86037700885,0.31655886037700887,4661719.193007808,3632570.8955466556,0.016703357116217683,0.016703357116217683,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Barei,396537,Marsaghai,Kendrapara,314334.40336297854,0.3143344033629785,4663739.075153089,3631387.9077532063,0.01657940166479232,0.01657940166479232,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Arakhia,396538,Marsaghai,Kendrapara,175300.21055100684,0.17530021055100684,4664167.5469891345,3631505.260874026,0.008831872256550919,0.008831872256550919,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Angulai,396518,Marsaghai,Kendrapara,4822364.834815277,4.822364834815277,4662807.407255534,3630717.916559869,0.26778450189619746,0.26778450189619746,MODERATE,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Manitiri,397051,Mahakalapada,Kendrapara,865604.9014107861,0.865604901410786,4668766.803848731,3631726.2659242116,0.04729835150828374,0.04729835150828374,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Balia,396547,Marsaghai,Kendrapara,569105.7475328377,0.5691057475328377,4667653.0161771225,3631702.603209451,0.030776258146007606,0.030776258146007606,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Nembara,396546,Marsaghai,Kendrapara,1938769.1081141317,1.9387691081141318,4666935.991699028,3631779.815420962,0.10709926150853448,0.10709926150853448,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Panchanpur,396515,Marsaghai,Kendrapara,107551.20526246693,0.10755120526246693,4661365.676779455,3632883.5450583873,0.005056632509865604,0.005056632509865604,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Anko,396785,Marsaghai,Kendrapara,237306.45915700757,0.23730645915700757,4662300.045004023,3624284.0264335563,0.01228710312353196,0.01228710312353196,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Niladripur,396523,Marsaghai,Kendrapara,335083.543490473,0.335083543490473,4662364.3878688,3633012.834049182,0.017735624965566164,0.017735624965566164,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Jaganathpur,397094,Mahakalapada,Kendrapara,441813.47431943956,0.44181347431943957,4674451.990946564,3625162.965894725,0.02368303445608819,0.02368303445608819,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Narendrapur,396543,Marsaghai,Kendrapara,1775609.631442655,1.775609631442655,4665571.930333995,3632403.956360763,0.09800737685642537,0.09800737685642537,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Kulapada,396534,Marsaghai,Kendrapara,1300186.4964865623,1.3001864964865624,4664780.976973499,3633384.146974023,0.07151493895367164,0.07151493895367164,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Garajanga Palli,396784,Marsaghai,Kendrapara,619629.756376453,0.619629756376453,4661947.839006783,3625577.1418133653,0.033591653671535146,0.033591653671535146,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Nuagan,396520,Marsaghai,Kendrapara,165892.37803137122,0.16589237803137122,4663067.361398905,3632423.6549529615,0.008307631005966905,0.008307631005966905,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Chadeiguan,397091,Mahakalapada,Kendrapara,2087887.0875486196,2.0878870875486197,4672932.158317254,3626873.8452853835,0.1154086989756807,0.1154086989756807,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Gaudabadpur,397092,Mahakalapada,Kendrapara,685050.1812817183,0.6850501812817184,4672723.40003753,3625929.081409752,0.03723713580511825,0.03723713580511825,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Goja Bandha,397102,Mahakalapada,Kendrapara,1162738.7612729121,1.162738761272912,4676656.978417259,3623153.306528192,0.06385581317225997,0.06385581317225997,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Jalakana,397089,Mahakalapada,Kendrapara,819223.0107348966,0.8192230107348967,4672409.380059956,3628465.680580383,0.044713771019459204,0.044713771019459204,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Maha Kala Para,397088,Mahakalapada,Kendrapara,1870426.1925913068,1.8704261925913068,4674290.768252552,3626574.2914625076,0.10329092675900908,0.10329092675900908,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Samantsingharpur,396927,Mahakalapada,Kendrapara,3990915.3214787645,3.9909153214787647,4675117.627223539,3623735.6304829535,0.22145288069022345,0.22145288069022345,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Teragan,396926,Mahakalapada,Kendrapara,2371655.284199741,2.371655284199741,4673250.660010646,3623814.753396154,0.13122137357186026,0.13122137357186026,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Nantar,397082,Mahakalapada,Kendrapara,3312068.753304582,3.3120687533045823,4679888.317826267,3627307.2883122917,0.18362489288203038,0.18362489288203038,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Aitipur,397044,Mahakalapada,Kendrapara,890895.2266116043,0.8908952266116044,4673758.61470987,3630484.678086144,0.04870762741570252,0.04870762741570252,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Balia,396986,Mahakalapada,Kendrapara,1837159.6802420449,1.837159680242045,4676882.29392771,3633461.982239672,0.10143718648459984,0.10143718648459984,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Janra,397064,Mahakalapada,Kendrapara,922715.1456985824,0.9227151456985824,4678140.4925509915,3627294.767066984,0.05048075785152,0.05048075785152,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Itakandia,396989,Mahakalapada,Kendrapara,771853.9022454806,0.7718539022454806,4679246.461282674,3633314.1316960827,0.04207417889005945,0.04207417889005945,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Bada Rahama,396990,Mahakalapada,Kendrapara,1081668.6019131553,1.0816686019131554,4679927.340986902,3634517.3770592306,0.05933826658125729,0.05933826658125729,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Mangalapur,397086,Mahakalapada,Kendrapara,1525301.916973851,1.5253019169738509,4676183.44801556,3625770.3168483353,0.08405925129295772,0.08405925129295772,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Gamha,397087,Mahakalapada,Kendrapara,2012900.0885311947,2.0129000885311945,4675438.94706697,3626389.1156453327,0.11123012988865792,0.11123012988865792,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Gopalpur,397090,Mahakalapada,Kendrapara,1355982.4881167628,1.3559824881167628,4671905.320645729,3626753.9204544183,0.07462410999479518,0.07462410999479518,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Balana,396904,Marsaghai,Kendrapara,1227898.9436291263,1.2278989436291263,4670745.709098302,3627133.8192455103,0.06748679357241139,0.06748679357241139,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Orata,397046,Mahakalapada,Kendrapara,1415761.1057510066,1.4157611057510067,4672302.040549025,3631549.4905738775,0.07795520854500335,0.07795520854500335,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Raigada,397065,Mahakalapada,Kendrapara,949703.4672635708,0.9497034672635708,4679187.43421717,3627946.5279516,0.05198465276236829,0.05198465276236829,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Ostara,396934,Mahakalapada,Kendrapara,1475151.6399831916,1.4751516399831917,4671558.560290303,3623148.884642537,0.08126468156907661,0.08126468156907661,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Sarumunhi,397113,Mahakalapada,Kendrapara,752864.763827239,0.752864763827239,4680953.317668769,3623455.3650402348,0.04101602977323424,0.04101602977323424,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Chhatar,396988,Mahakalapada,Kendrapara,1197892.8152399652,1.1978928152399653,4678628.035365462,3632958.6302116723,0.06581473465351734,0.06581473465351734,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Mahula Kandha,397099,Mahakalapada,Kendrapara,1996326.169990404,1.996326169990404,4678942.3001098195,3624298.0245150453,0.1103065662766605,0.1103065662766605,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Bachhuria,397109,Mahakalapada,Kendrapara,696545.8685412188,0.6965458685412188,4679724.010299124,3623420.6243804595,0.03787772049374498,0.03787772049374498,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Jemadeipur,397084,Mahakalapada,Kendrapara,1466144.7893768214,1.4661447893768214,4679300.796236912,3625815.0550972647,0.08076278460015716,0.08076278460015716,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Kiar Banka,397063,Mahakalapada,Kendrapara,2899898.532507418,2.899898532507418,4676304.256073125,3627567.595623795,0.16065715493035998,0.16065715493035998,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Pareswar Pur,397083,Mahakalapada,Kendrapara,1266453.8124353378,1.2664538124353377,4680541.640800264,3626457.725485152,0.06963522176741646,0.06963522176741646,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Sahabaj Pur,397062,Mahakalapada,Kendrapara,2087310.0541739403,2.0873100541739404,4675861.509130198,3629108.0385300587,0.1153765444175145,0.1153765444175145,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Maliancha,397030,Mahakalapada,Kendrapara,1594039.0536239704,1.5940390536239704,4678798.131177013,3629333.170742586,0.08788955358669143,0.08788955358669143,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Babakar Pur,397055,Mahakalapada,Kendrapara,1495501.7098738526,1.4955017098738526,4671232.167653966,3629272.0587948696,0.08239866711427904,0.08239866711427904,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Ramakani,397060,Mahakalapada,Kendrapara,985567.3856363887,0.9855673856363887,4674741.341599998,3629349.294291543,0.053983130666749306,0.053983130666749306,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Barakandha,397106,Mahakalapada,Kendrapara,1267304.3856705085,1.2673043856705084,4678226.995339781,3622676.627398732,0.06968261903725396,0.06968261903725396,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Kochila,397115,Mahakalapada,Kendrapara,1984141.6868372946,1.9841416868372945,4680300.916955057,3622545.27278475,0.10962759918487032,0.10962759918487032,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Ghantia Palli,397040,Mahakalapada,Kendrapara,1015215.3536874037,1.0152153536874038,4675150.041929658,3631959.2617580877,0.05563523148974961,0.05563523148974961,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Bandhapara,397101,Mahakalapada,Kendrapara,1365019.87987414,1.36501987987414,4677599.638760999,3623483.072225694,0.07512770883618788,0.07512770883618788,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Gokhapada,396925,Mahakalapada,Kendrapara,1565505.9395878154,1.5655059395878155,4670988.591961459,3623672.156049557,0.08629957679297726,0.08629957679297726,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Sankhapada,397038,Mahakalapada,Kendrapara,2303275.4602666334,2.3032754602666334,4675979.927441062,3630476.9356399826,0.1274109821412531,0.1274109821412531,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Mulubasanta,396984,Mahakalapada,Kendrapara,501660.0149219392,0.5016600149219391,4676206.108178866,3634742.7709437325,0.027017917939940475,0.027017917939940475,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Bijayanagar,397034,Mahakalapada,Kendrapara,6525370.2999010375,6.525370299901038,4677643.893270571,3629398.395547838,0.36268263203452467,0.36268263203452467,MODERATE,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Kalapara,397041,Mahakalapada,Kendrapara,1095707.7728039522,1.0957077728039522,4674639.898835969,3632305.0321613187,0.060120584133104935,0.060120584133104935,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Anduli,397042,Mahakalapada,Kendrapara,1638850.545062616,1.638850545062616,4673583.355433682,3632197.9716203255,0.09038662528341847,0.09038662528341847,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Bilipada,397048,Mahakalapada,Kendrapara,1088849.4384964865,1.0888494384964864,4670575.694729431,3631180.419730705,0.05973841090172939,0.05973841090172939,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Sri Chandan Pur,397037,Mahakalapada,Kendrapara,1652295.3784434511,1.652295378443451,4676271.384873163,3631595.4910616926,0.09113582402295296,0.09113582402295296,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Palaspur,396905,Marsaghai,Kendrapara,1684295.80501502,1.68429580501502,4670252.729794124,3626365.064651044,0.09291901304232456,0.09291901304232456,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Tithi,397085,Mahakalapada,Kendrapara,1920760.7127180751,1.9207607127180752,4677711.497463102,3626447.478290615,0.10609576323156837,0.10609576323156837,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Deula Pada,397058,Mahakalapada,Kendrapara,1917467.8313563252,1.9174678313563251,4673360.011200147,3629433.1907916116,0.10591227099363729,0.10591227099363729,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Rajagada,397054,Mahakalapada,Kendrapara,4285724.213573142,4.285724213573142,4669521.257206583,3629010.73452469,0.2378807860501745,0.2378807860501745,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Jagati,397066,Mahakalapada,Kendrapara,1167289.5477104473,1.1672895477104472,4680594.868053644,3628753.71381138,0.06410940080449884,0.06410940080449884,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Ranki,397032,Mahakalapada,Kendrapara,707939.704423894,0.7079397044238941,4679756.306971208,3630998.5121372202,0.03851262962500512,0.03851262962500512,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Sikhar,397093,Mahakalapada,Kendrapara,959088.2723109998,0.9590882723109998,4673561.506777574,3626577.40333953,0.05250761083207061,0.05250761083207061,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Dadhipur,397097,Mahakalapada,Kendrapara,1103815.3999390677,1.1038153999390676,4676737.980515188,3624787.675530488,0.06057237285061352,0.06057237285061352,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Adoi,397110,Mahakalapada,Kendrapara,2968556.973347433,2.968556973347433,4680295.816442271,3624773.460731744,0.16448307198553644,0.16448307198553644,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Karanja,396924,Mahakalapada,Kendrapara,4808547.2515631905,4.808547251563191,4672176.1180918645,3624918.2351940335,0.2670145320748807,0.2670145320748807,MODERATE,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Dasi Pur,396902,Marsaghai,Kendrapara,1957267.2226547233,1.9572672226547234,4669510.273284599,3627508.818250843,0.10813004885301217,0.10813004885301217,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Adam Pur,396903,Marsaghai,Kendrapara,1693589.6180598729,1.6935896180598728,4671123.703459729,3628035.7772748414,0.0934369006814974,0.0934369006814974,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Chandia Palli,397061,Mahakalapada,Kendrapara,1144184.2423100073,1.1441842423100073,4674705.684692112,3627880.7962466795,0.06282188275260209,0.06282188275260209,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Amirabad,397059,Mahakalapada,Kendrapara,1927638.1115176438,1.9276381115176437,4673673.967368044,3628350.822858886,0.10647899881106297,0.10647899881106297,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Badadihi,397026,Mahakalapada,Kendrapara,3747691.936967652,3.747691936967652,4679885.711572937,3632340.442851705,0.2078995217203169,0.2078995217203169,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Kanpur,397031,Mahakalapada,Kendrapara,638484.9614776124,0.6384849614776124,4678793.961283684,3630053.0888904356,0.03464233949971278,0.03464233949971278,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Dia Rajagarh,397056,Mahakalapada,Kendrapara,292299.89523722325,0.2922998952372233,4670786.15426542,3630206.4240368116,0.015351552628179483,0.015351552628179483,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Oliha,397045,Mahakalapada,Kendrapara,1274190.9414137157,1.2741909414137158,4672736.178650507,3630471.1081275716,0.07006636487748874,0.07006636487748874,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Olihanilakanthapur,397057,Mahakalapada,Kendrapara,1548458.3655424027,1.5484583655424027,4671882.155037943,3630002.9353406704,0.08534961924235784,0.08534961924235784,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Balipal,397039,Mahakalapada,Kendrapara,1225671.6488368611,1.225671648836861,4674669.260510374,3630735.994358955,0.06736267998887562,0.06736267998887562,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Arada,397033,Mahakalapada,Kendrapara,1665249.3853755016,1.6652493853755015,4678863.1728635905,3630788.7370438916,0.09185767199164906,0.09185767199164906,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Benupal,396922,Mahakalapada,Kendrapara,1821260.9936605846,1.8212609936605846,4669870.487595799,3625293.603585765,0.1005512494402581,0.1005512494402581,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Ekalapur,397027,Mahakalapada,Kendrapara,1354765.613172606,1.354765613172606,4680388.053851076,3630615.5873698783,0.0745563009600151,0.0745563009600151,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Nachhi Pada,397049,Mahakalapada,Kendrapara,1376789.8283224076,1.3767898283224076,4669898.726828073,3630992.8683748543,0.07578357643172073,0.07578357643172073,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Basaghar,397043,Mahakalapada,Kendrapara,748483.157996465,0.748483157996465,4673850.298896103,3631466.0377406147,0.040771869546582996,0.040771869546582996,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Sahoo Pada,396985,Mahakalapada,Kendrapara,579417.5471092835,0.5794175471092835,4676679.318195367,3634240.412996874,0.03135087197915618,0.03135087197915618,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Batakuli,397096,Mahakalapada,Kendrapara,1146307.2376754803,1.1463072376754804,4677306.761632085,3624401.7201266456,0.06294018436384535,0.06294018436384535,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Potakani,397108,Mahakalapada,Kendrapara,535143.3491061281,0.535143349106128,4679223.359551263,3622862.944316313,0.0288837403756402,0.0288837403756402,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Niyamatpur,397050,Mahakalapada,Kendrapara,1468309.4144590108,1.4683094144590108,4669350.224645049,3631653.6301705725,0.08088340598215604,0.08088340598215604,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Dahimachha,396921,Mahakalapada,Kendrapara,754117.482351384,0.754117482351384,4669826.821908503,3623991.345998179,0.0410858361525843,0.0410858361525843,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Rama Chandra Pur,396987,Mahakalapada,Kendrapara,1242825.8672859669,1.242825867285967,4678158.04605882,3633590.225360947,0.06831858018307878,0.06831858018307878,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Jasuapalli,397036,Mahakalapada,Kendrapara,1027846.5188881378,1.0278465188881378,4675877.893883658,3632493.6300356365,0.05633908945356278,0.05633908945356278,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Potia,397035,Mahakalapada,Kendrapara,1689835.7140508841,1.6898357140508842,4677523.14828029,3632398.557978532,0.0932277184572032,0.0932277184572032,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Alailo,397047,Mahakalapada,Kendrapara,4101366.401313663,4.101366401313663,4671069.443671968,3632348.6490151356,0.22760764716806506,0.22760764716806506,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Baulapara,397095,Mahakalapada,Kendrapara,950610.2175066188,0.9506102175066188,4676323.710780038,3625199.510011865,0.05203518043496351,0.05203518043496351,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Gobardhanpur,396923,Mahakalapada,Kendrapara,594407.1009642701,0.5944071009642701,4670641.013607281,3625521.8247588086,0.03218614858960108,0.03218614858960108,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Kumbharapara,397098,Mahakalapada,Kendrapara,979684.4264326169,0.9796844264326169,4677937.848539916,3625370.1275468897,0.053655309153804315,0.053655309153804315,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Marichakani,397100,Mahakalapada,Kendrapara,569687.7429535269,0.5696877429535269,4678116.41918057,3623993.2604308375,0.03080868920879911,0.03080868920879911,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Baradia,395618,Rajkanika,Kendrapara,513370.3143733733,0.5133703143733733,4690342.352384641,3662261.8206711607,0.027670461659901478,0.027670461659901478,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Kusiapal,397069,Mahakalapada,Kendrapara,298593.59721622564,0.29859359721622564,4682638.654086207,3630803.004437657,0.015702262336222104,0.015702262336222104,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Balisahipatna,395912,Rajnagar,Kendrapara,672939.6247598929,0.6729396247598929,4688076.86690026,3648926.0565732135,0.03656228819457469,0.03656228819457469,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Baulakani,397112,Mahakalapada,Kendrapara,3634598.309367043,3.634598309367043,4683472.211442685,3625363.475601074,0.20159750213794425,0.20159750213794425,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Petchhela,396058,Mahakalapada,Kendrapara,13174392.438827919,13.174392438827919,4683716.518323766,3623358.0824553077,0.733192170123838,0.733192170123838,HIGH,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Tanki Belari,397078,Mahakalapada,Kendrapara,998739.3946515792,0.9987393946515792,4682462.545075962,3626364.2996208374,0.054717126564785855,0.054717126564785855,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Narasingha Pur,397015,Mahakalapada,Kendrapara,797501.7222409681,0.7975017222409682,4689840.659560459,3635575.118825144,0.043503375806684494,0.043503375806684494,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Maladhia,397081,Mahakalapada,Kendrapara,1960987.0160231583,1.9609870160231584,4681519.016269577,3626611.615389355,0.10833733029890444,0.10833733029890444,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Babara,396992,Mahakalapada,Kendrapara,758674.1028128092,0.7586741028128092,4681320.61037105,3634400.2939078826,0.041339748879468896,0.041339748879468896,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Pancha Gachhia,397018,Mahakalapada,Kendrapara,613572.5322379696,0.6135725322379696,4685842.793433586,3630754.6893065115,0.03325412143434889,0.03325412143434889,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
